scn_id,scn_hosts,scn_vms,scn_workload_type,scn_ambient_temp_C,scn_airflow_cfm,scn_containment,scn_duration_s,scn_dt_s,scn_p_it_per_host_W,scn_p_lighting_W,scn_p_UPS_loss_W,scn_p_fans_W,scn_COP,scn_containment_eta_guess,scn_bypass_air_frac,scn_recirc_air_frac,scn_racks,scn_fan_k_cubic,scn_vfd_enabled,scn_vfd_min_frac,scn_vfd_max_frac,scn_rci_lo_C,scn_rci_hi_C,scn_f_friction,scn_duct_L_m,scn_duct_D_h_m,scn_flow_area_m2,scn_eta_fan0,scn_supply_pid_enabled,scn_Tin_target_C,scn_Kp_sup,scn_Ki_sup,scn_Kd_sup,scn_Tsupply_min_C,scn_Tsupply_max_C,scn_dynamic_load,scn_load_swing_frac,scn_burst_every_s,scn_burst_amp_frac,scn_outdoor_T_C,scn_outdoor_RH_percent,scn_heat_exchanger_eff,scn_kgCO2_per_kWh,t_s,T_cold_supply_C,T_hot_return_C,deltaT_C,eta_containment,Q_IT_J,Q_nonIT_J,airflow_cfm,P_cooling_W,PUE,savings_vs_open_Wh,BAF,RAF,RTI,RCI_percent,DCiE,CEI,P_fan_W,rack_inlet_C,rack_outlet_C,deltaT_rack_C,Tsupply_C
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,370,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,375,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,380,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,385,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,390,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,395,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,400,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,405,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,410,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,415,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,420,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,425,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,430,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,435,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,440,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,445,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,450,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,455,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,460,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,465,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,470,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,475,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,480,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,485,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,490,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,495,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,500,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,505,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,510,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,515,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,520,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,525,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,530,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,535,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,540,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,545,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,550,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
H1V1_IT_Light_25C_Aisle,1,1,IT,25,600,Cold,600,5,300.0,200.0,150.0,250.0,4.0,0.85,0.05,0.05,6,500.0,False,0.6,1.3,18.0,27.0,0.25,10.0,0.6,2.0,0.6,False,24.0,0.3,0.0,0.0,18.0,30.0,False,0.3,300,0.2,30.0,40.0,0.5,0.45,555,27.5,27.938921440252745,1.982057603042714,0.8499999999999959,750.0,3000.0,600,187.5,6.250157678395019,0.18229166666666452,0.05,0.05,0.19985624999999846,0.0,0.15999596353492165,0.0,0.023651759252822053,27.50;27.52;27.54;27.56;27.58;27.60,27.92;27.94;27.96;27.98;28.00;28.02,0.42;0.42;0.42;0.42;0.42;0.42,27.5
